,pH,Temp,value
1,5,0,99.9
2,5.1,0,99.8
3,5.2,0,99.8
4,5.3,0,99.7
5,5.4,0,99.6
6,5.5,0,99.5
7,5.6,0,99.4
8,5.7,0,99.3
9,5.8,0,99.1
10,5.9,0,98.8
11,6,0,98.5
12,6.1,0,98.2
13,6.2,0,97.7
14,6.3,0,97.1
15,6.4,0,96.4
16,6.5,0,95.5
17,6.6,0,94.4
18,6.7,0,93.1
19,6.8,0,91.4
20,6.9,0,89.4
21,7,0,87.1
22,7.1,0,84.2
23,7.2,0,80.9
24,7.3,0,77.1
25,7.4,0,72.8
26,7.5,0,68
27,7.6,0,62.8
28,7.7,0,57.3
29,7.8,0,51.6
30,7.9,0,45.8
31,8,0,40.2
32,8.1,0,34.8
33,8.2,0,29.8
34,8.3,0,25.2
35,8.4,0,21.1
36,8.5,0,17.5
37,8.6,0,14.4
38,8.7,0,11.8
39,8.8,0,9.6
40,8.9,0,7.8
41,9,0,6.3
42,9.1,0,5.1
43,9.2,0,4.1
44,9.3,0,3.3
45,9.4,0,2.6
46,9.5,0,2.1
47,9.6,0,1.7
48,9.7,0,1.3
49,9.8,0,1.1
50,9.9,0,0.8
51,5,5,99.8
52,5.1,5,99.8
53,5.2,5,99.7
54,5.3,5,99.7
55,5.4,5,99.6
56,5.5,5,99.5
57,5.6,5,99.3
58,5.7,5,99.1
59,5.8,5,98.9
60,5.9,5,98.6
61,6,5,98.3
62,6.1,5,97.8
63,6.2,5,97.3
64,6.3,5,96.6
65,6.4,5,95.8
66,6.5,5,94.8
67,6.6,5,93.5
68,6.7,5,91.9
69,6.8,5,90
70,6.9,5,87.8
71,7,5,85.1
72,7.1,5,81.9
73,7.2,5,78.3
74,7.3,5,74.1
75,7.4,5,69.4
76,7.5,5,64.3
77,7.6,5,58.9
78,7.7,5,53.2
79,7.8,5,47.5
80,7.9,5,41.8
81,8,5,36.3
82,8.1,5,31.2
83,8.2,5,26.5
84,8.3,5,22.2
85,8.4,5,18.5
86,8.5,5,15.3
87,8.6,5,12.5
88,8.7,5,10.2
89,8.8,5,8.3
90,8.9,5,6.7
91,9,5,5.4
92,9.1,5,4.3
93,9.2,5,3.5
94,9.3,5,2.8
95,9.4,5,2.2
96,9.5,5,1.8
97,9.6,5,1.4
98,9.7,5,1.1
99,9.8,5,0.9
100,9.9,5,0.7
101,5,10,99.8
102,5.1,10,99.7
103,5.2,10,99.7
104,5.3,10,99.6
105,5.4,10,99.5
106,5.5,10,99.4
107,5.6,10,99.2
108,5.7,10,99
109,5.8,10,98.7
110,5.9,10,98.4
111,6,10,98
112,6.1,10,97.5
113,6.2,10,96.9
114,6.3,10,96.1
115,6.4,10,95.1
116,6.5,10,94
117,6.6,10,92.5
118,6.7,10,90.8
119,6.8,10,88.6
120,6.9,10,86.1
121,7,10,83.1
122,7.1,10,79.6
123,7.2,10,75.6
124,7.3,10,71.2
125,7.4,10,66.2
126,7.5,10,60.9
127,7.6,10,55.3
128,7.7,10,49.5
129,7.8,10,43.8
130,7.9,10,38.3
131,8,10,33
132,8.1,10,28.1
133,8.2,10,23.7
134,8.3,10,19.8
135,8.4,10,16.4
136,8.5,10,13.5
137,8.6,10,11
138,8.7,10,8.9
139,8.8,10,7.2
140,8.9,10,5.8
141,9,10,4.7
142,9.1,10,3.8
143,9.2,10,3
144,9.3,10,2.4
145,9.4,10,1.9
146,9.5,10,1.5
147,9.6,10,1.2
148,9.7,10,1
149,9.8,10,0.8
150,9.9,10,0.6
151,5,15,99.8
152,5.1,15,99.7
153,5.2,15,99.6
154,5.3,15,99.5
155,5.4,15,99.4
156,5.5,15,99.3
157,5.6,15,99.1
158,5.7,15,98.9
159,5.8,15,98.6
160,5.9,15,98.2
161,6,15,97.7
162,6.1,15,97.2
163,6.2,15,96.5
164,6.3,15,95.6
165,6.4,15,94.5
166,6.5,15,93.2
167,6.6,15,91.5
168,6.7,15,89.6
169,6.8,15,87.2
170,6.9,15,84.4
171,7,15,81.2
172,7.1,15,77.4
173,7.2,15,73.1
174,7.3,15,68.4
175,7.4,15,63.2
176,7.5,15,57.7
177,7.6,15,52
178,7.7,15,46.2
179,7.8,15,40.6
180,7.9,15,35.2
181,8,15,30.1
182,8.1,15,25.5
183,8.2,15,21.4
184,8.3,15,17.8
185,8.4,15,14.7
186,8.5,15,12
187,8.6,15,9.8
188,8.7,15,7.9
189,8.8,15,6.4
190,8.9,15,5.2
191,9,15,4.1
192,9.1,15,3.3
193,9.2,15,2.7
194,9.3,15,2.1
195,9.4,15,1.7
196,9.5,15,1.3
197,9.6,15,1.1
198,9.7,15,0.9
199,9.8,15,0.7
200,9.9,15,0.5
201,5,20,99.7
202,5.1,20,99.7
203,5.2,20,99.6
204,5.3,20,99.5
205,5.4,20,99.4
206,5.5,20,99.2
207,5.6,20,99
208,5.7,20,98.7
209,5.8,20,98.4
210,5.9,20,98
211,6,20,97.5
212,6.1,20,96.8
213,6.2,20,96
214,6.3,20,95.1
215,6.4,20,93.9
216,6.5,20,92.4
217,6.6,20,90.6
218,6.7,20,88.4
219,6.8,20,85.9
220,6.9,20,82.8
221,7,20,79.3
222,7.1,20,75.3
223,7.2,20,70.7
224,7.3,20,65.8
225,7.4,20,60.4
226,7.5,20,54.8
227,7.6,20,49
228,7.7,20,43.3
229,7.8,20,37.8
230,7.9,20,32.5
231,8,20,27.7
232,8.1,20,23.3
233,8.2,20,19.5
234,8.3,20,16.1
235,8.4,20,13.2
236,8.5,20,10.8
237,8.6,20,8.8
238,8.7,20,7.1
239,8.8,20,5.7
240,8.9,20,4.6
241,9,20,3.7
242,9.1,20,3
243,9.2,20,2.4
244,9.3,20,1.9
245,9.4,20,1.5
246,9.5,20,1.2
247,9.6,20,1
248,9.7,20,0.8
249,9.8,20,0.6
250,9.9,20,0.5
